sunday domingo
monday lunes
tuesday martes
wednesday miercoles
thursday jueves
friday viernes
saturday sabado
january enero
february febrero
march marzo
april abril
may mayo
june junio
july julio
august agosto
september septiembre
october octubre
november noviembre
december diciembre
review repaso
as como
like como
lousy horrible
sun sol
moon luna
mars marte
mercury mercurio
venus venus
saturn saturno
jupiter jupiter
engineering ingenieria
university universidad
engineer ingeniero
industrial industrial
science ciencia
arquitecture arquitectura
environment ambiente
society sociedad
math matematicas
maths matematicas
mathematics matematicas
chemistry quimica
petroleum petroleo
isthmus istmo
computer computadora
scientist cientifico
trash basura
rubbish basura
garbage basura
technology tecnologia
pollution contaminacion
contamination contaminacion
study estudiar
buy comprar
read leer
walk caminar
eat comer
learn aprender
cook cocinar
go ir
come venir
be ser
be estar
develop desarrollar
give dar
have tener
build construir
construct construir
speak hablar
talk hablar
teach enseniar
do hacer
make hacer
drink beber
development desarrollo
modified modificado
cellular celular
artificial artificial
bridge puente
quetation citacion
center centro
downtown centro
transhumanism transhumanismo
bilingue bilingue
genetic genetico
organism organismo
telephone telefono
sickness enfermedad
call llamar
wash lavar
know saber
contamine contaminar
pollute contaminar
conserve conservar
criticize criticar
lack faltar
price cotizar
fuck coger
cum semen
cum eyacular
strawberry fresa
lay acostarse
jellyfish medusa
major carrera
fence valla
leaf hoja
footprint huella
flip_flop chanclas
couple pareja
beam rayo
war guerra
screen pantalla
scream gritar
carpet alfombra
bush arbusto
window ventana
floor piso
pathway camino
octopus pulpo
pants pantalon
cross cruz
friendship amistad
number numero
star estrella
gold oro
book libro
shoes zapatos
eagle aguila
stick palo
programmer programador
 
